time,Tmean_CCSM4,dT_CCSM4,Tmean_HadGEM,dT_HadGEM2,Tmean_IPSL,dT_IPSL,Tmean_MPI,dT_MPI
2023,15.190456,1.8030832903225793,15.112833,1.4992407741935487,13.962223,1.6658133548387095,14.942001,1.421187193548386
2024,15.074796,1.6874232903225792,15.13833,1.5247377741935484,13.891852,1.5954423548387098,14.857433,1.3366191935483869
2025,15.218282,1.8309092903225803,15.056709,1.4431167741935482,14.037609,1.7411993548387095,15.028971,1.5081571935483868
2026,15.264477,1.8771042903225794,15.157726,1.5441337741935488,14.107429,1.8110193548387095,15.375956,1.855142193548387
2027,15.223924,1.8365512903225802,15.233821,1.6202287741935493,14.082143,1.78573335483871,15.279358,1.7585441935483868
2028,15.195132,1.8077592903225792,15.097022,1.4834297741935494,14.105401,1.8089913548387102,15.041706,1.5208921935483861
2029,15.314724,1.92735129032258,15.012209,1.398616774193549,14.143585,1.8471753548387095,15.116766,1.5959521935483867
2030,15.332655,1.9452822903225808,15.154147,1.5405547741935486,14.228726,1.9323163548387097,15.010893,1.490079193548386
2031,15.270429,1.88305629032258,15.138927,1.5253347741935492,14.337523,2.041113354838709,15.028658,1.5078441935483866
2032,15.347793,1.9604202903225794,15.30963,1.6960377741935488,14.501919,2.205509354838709,15.058587,1.5377731935483858
2033,15.523054,2.13568129032258,15.456181,1.8425887741935494,14.298944,2.0025343548387102,15.503408,1.9825941935483868
2034,15.431314,2.0439412903225804,15.503176,1.8895837741935484,14.405035,2.1086253548387095,15.503417,1.9826031935483872
2035,15.432763,2.0453902903225796,15.592996,1.979403774193548,14.582672,2.28626235483871,15.211444,1.6906301935483867
2036,15.432947,2.0455742903225804,15.695594,2.0820017741935484,14.616393,2.31998335483871,15.189421,1.668607193548386
2037,15.562742,2.17536929032258,15.597812,1.984219774193548,14.545982,2.24957235483871,15.358479,1.8376651935483874
2038,15.443037,2.0556642903225804,15.771632,2.158039774193549,14.547985,2.2515753548387103,15.525583,2.004769193548386
2039,15.537154,2.1497812903225793,15.792058,2.1784657741935494,14.537421,2.24101135483871,15.659553,2.1387391935483873
2040,15.549632,2.162259290322581,15.731198,2.1176057741935477,14.519714,2.22330435483871,15.64882,2.128006193548387
2041,15.702476,2.3151032903225808,15.810812,2.197219774193549,14.687628,2.39121835483871,15.494564,1.973750193548387
2042,15.712823,2.32545029032258,15.805219,2.191626774193548,14.78701,2.49060035483871,15.745749,2.2249351935483865
2043,15.671615,2.284242290322579,15.874867,2.2612747741935486,15.014584,2.718174354838709,16.142579,2.621765193548388
2044,15.799992,2.4126192903225796,15.904739,2.291146774193548,15.204767,2.90835735483871,15.579445,2.0586311935483863
2045,15.870032,2.48265929032258,15.890379,2.276786774193548,15.196497,2.9000873548387105,15.505681,1.9848671935483857
2046,15.859646,2.4722732903225797,15.925692,2.3120997741935483,15.001886,2.7054763548387104,15.660533,2.1397191935483857
2047,15.801872,2.4144992903225795,15.980421,2.3668287741935483,15.043174,2.74676435483871,15.782938,2.2621241935483862
2048,15.804212,2.4168392903225797,16.171617,2.55802477419355,15.220284,2.923874354838709,15.901403,2.3805891935483867
2049,15.877134,2.48976129032258,16.172788,2.559195774193549,15.324496,3.0280863548387096,15.861706999999999,2.3408931935483857
2050,15.955855,2.5684822903225797,16.344519,2.730926774193547,15.260239,2.96382935483871,15.916459,2.3956451935483862
2051,16.004682,2.617309290322579,16.32945,2.71585777419355,15.142735,2.8463253548387097,15.987545,2.4667311935483873
2052,16.076712,2.6893392903225806,16.28852,2.674927774193547,15.312507,3.0160973548387098,15.945133,2.4243191935483868
2053,16.026735,2.6393622903225786,16.347085,2.7334927741935484,15.453823,3.1574133548387096,16.104805,2.5839911935483855
2054,15.99633,2.6089572903225804,16.43102,2.8174277741935487,15.517841,3.2214313548387103,16.336826,2.816012193548385
2055,16.174189,2.7868162903225784,16.501215,2.887622774193547,15.522479,3.2260693548387103,16.359883,2.8390691935483865
2056,16.252356,2.864983290322579,16.490172,2.8765797741935497,15.685688,3.3892783548387104,16.102471,2.581657193548388
2057,16.266977,2.8796042903225807,16.642471,3.028878774193549,15.597772,3.3013623548387105,16.024682,2.503868193548385
2058,16.353391,2.9660182903225785,16.810738,3.197145774193549,15.759958,3.463548354838709,16.262814,2.7420001935483853
2059,16.42088,3.0335072903225804,17.13622,3.52262777419355,15.663688,3.36727835483871,16.519046,2.998232193548386
2060,16.451684,3.06431129032258,17.083596,3.4700037741935486,15.65723,3.36082035483871,16.322184,2.8013701935483866
2061,16.394018,3.006645290322579,17.00611,3.392517774193548,15.648596,3.352186354838709,16.347655,2.826841193548386
2062,16.642043,3.254670290322581,16.94614,3.3325477741935483,15.870767,3.5743573548387104,16.491088,2.970274193548388
2063,16.688379,3.301006290322581,16.965312,3.3517197741935494,16.032681,3.73627135483871,16.571224,3.0504101935483874
2064,16.584434,3.1970612903225817,17.014921,3.4013287741935496,15.971643,3.67523335483871,16.563119,3.042305193548387
2065,16.705972,3.318599290322579,17.114433,3.5008407741935468,16.125226,3.828816354838711,16.430971,2.910157193548386
2066,16.752249,3.364876290322579,17.191452,3.5778597741935503,16.228582,3.932172354838709,16.431173,2.9103591935483877
2067,16.776754,3.3893812903225804,17.231396,3.6178037741935487,16.14679,3.850380354838709,16.51351,2.9926961935483867
2068,16.769022,3.3816492903225797,17.363321,3.7497287741935477,16.219551,3.923141354838709,16.852442,3.3316281935483865
2069,16.882435,3.495062290322581,17.28409,3.6704977741935476,16.463771,4.167361354838711,17.020629,3.499815193548386
2070,17.053337,3.665964290322579,17.446196,3.832603774193549,16.489257,4.192847354838708,16.782115,3.2613011935483875
2071,16.980327,3.592954290322579,17.41104,3.7974477741935484,16.396534,4.100124354838709,16.68682,3.1660061935483874
2072,16.878929,3.4915562903225794,17.481609,3.8680167741935474,16.43741,4.1410003548387095,17.050878,3.5300641935483874
2073,16.854237,3.4668642903225813,17.607316,3.9937237741935494,16.693685,4.397275354838708,17.263664,3.742850193548385
2074,17.101982,3.7146092903225796,17.63696,4.023367774193547,16.751845,4.455435354838709,16.951241,3.430427193548386
2075,17.252913,3.8655402903225795,17.604928,3.9913357741935496,16.54793,4.251520354838711,16.992312,3.471498193548385
2076,17.210252,3.8228792903225806,17.780175,4.166582774193548,16.715128,4.41871835483871,17.245175,3.7243611935483862
2077,17.285994,3.8986212903225788,17.899041,4.285448774193549,16.903004,4.606594354838709,17.266142,3.745328193548385
2078,17.455827,4.068454290322579,18.050089,4.436496774193548,16.92099,4.624580354838709,17.443121,3.922307193548388
2079,17.567911,4.180538290322579,18.103436,4.489843774193547,16.98304,4.686630354838709,17.124928,3.604114193548387
2080,17.380701,3.9933282903225784,18.256245,4.642652774193548,16.888046,4.591636354838709,16.9444,3.4235861935483882
2081,17.503174,4.115801290322581,18.266492,4.652899774193548,16.906213,4.609803354838711,17.300318,3.7795041935483873
2082,17.538386,4.151013290322579,18.225065,4.611472774193549,17.00749,4.71108035483871,17.401705,3.8808911935483863
2083,17.584569,4.197196290322578,18.120797,4.507204774193548,17.269539,4.973129354838711,17.549259,4.028445193548386
2084,17.5493,4.161927290322579,18.242661,4.629068774193547,17.495304,5.1988943548387105,17.734334,4.213520193548387
2085,17.538651,4.1512782903225816,18.388115,4.774522774193548,17.395347,5.098937354838711,17.654741,4.133927193548388
2086,17.668273,4.280900290322579,18.47391,4.860317774193549,17.292467,4.996057354838708,17.691402,4.170588193548387
2087,17.733514,4.34614129032258,18.577245,4.96365277419355,17.460988,5.16457835483871,17.800771,4.2799571935483876
2088,17.88115,4.493777290322582,18.653935,5.040342774193549,17.397467,5.101057354838709,17.991164,4.470350193548388
2089,17.932975,4.545602290322579,18.636084,5.022491774193549,17.457583,5.161173354838709,17.896512,4.375698193548388
2090,18.077474,4.690101290322579,18.610221,4.996628774193548,17.581042,5.28463235483871,17.869591,4.348777193548386
2091,18.021544,4.634171290322579,18.73334,5.119747774193547,17.587933,5.291523354838709,17.930486,4.409672193548385
2092,18.115964,4.728591290322582,18.739589,5.125996774193547,17.707197,5.41078735483871,17.937912,4.417098193548387
2093,18.089837,4.702464290322579,18.723044,5.10945177419355,17.624977,5.328567354838711,18.157423,4.636609193548388
2094,17.894567,4.507194290322579,18.802622,5.189029774193548,17.766366,5.469956354838711,18.192354,4.671540193548388
2095,18.108603,4.721230290322579,18.772369,5.15877677419355,17.940769,5.644359354838709,18.009016,4.488202193548386
2096,18.147129,4.75975629032258,18.89098,5.2773877741935475,18.195288,5.898878354838711,18.098537,4.577723193548387
2097,17.982318,4.594945290322579,18.98414,5.370547774193549,18.191969,5.89555935483871,18.356009,4.835195193548387
2098,18.120814,4.733441290322579,18.993326,5.379733774193548,18.126688,5.830278354838711,18.280367,4.759553193548385
2099,18.284212,4.89683929032258,19.080925,5.467332774193549,18.241675,5.94526535483871,18.253029,4.732215193548388
2100,18.295625,4.908252290322581,19.015276,5.401683774193549,18.217261,5.92085135483871,18.29964,4.778826193548387
2101,18.413328,5.02595529032258,19.256262,5.642669774193548,18.360684,6.064274354838709,18.214561,4.693747193548386
2102,18.347761,4.960388290322578,19.308207,5.694614774193548,18.323062,6.02665235483871,18.299466,4.778652193548385
2103,18.478728,5.09135529032258,19.234638,5.621045774193549,18.212313,5.915903354838711,18.390712,4.869898193548387
2104,18.565548,5.17817529032258,19.188713,5.5751207741935485,18.336931,6.0405213548387096,18.562138,5.0413241935483875
2105,18.31054,4.92316729032258,19.338307,5.724714774193549,18.405141,6.10873135483871,18.497601,4.976787193548386
2106,18.338388,4.951015290322578,19.474558,5.860965774193547,18.47123,6.174820354838708,18.777676,5.256862193548386
2107,18.372351,4.984978290322578,19.611912,5.998319774193549,18.651224,6.354814354838709,18.889137,5.368323193548388
2108,18.444529,5.057156290322579,19.812071,6.198478774193548,18.422744,6.126334354838711,18.59194,5.071126193548388
2109,18.481004,5.093631290322579,19.856556,6.24296377419355,18.486786,6.190376354838708,18.644326,5.123512193548386
2110,18.595721,5.208348290322581,19.862146,6.248553774193548,18.571521,6.27511135483871,18.938312,5.417498193548386
2111,18.651253,5.2638802903225805,19.820228,6.206635774193549,18.690689,6.394279354838709,19.044711,5.523897193548386
2112,18.701495,5.314122290322581,19.860753,6.2471607741935475,18.669927,6.373517354838711,19.267478,5.746664193548387
2113,18.8172,5.42982729032258,19.827349,6.21375677419355,18.887992,6.59158235483871,18.996605,5.475791193548385
2114,18.775749,5.388376290322581,19.849844,6.2362517741935495,18.715465,6.419055354838708,19.009134,5.488320193548386
2115,18.75657,5.36919729032258,20.121354,6.507761774193549,18.781864,6.4854543548387085,19.226436,5.705622193548386
2116,18.768462,5.3810892903225795,20.123408,6.50981577419355,18.779273,6.48286335483871,19.152911,5.632097193548386
2117,18.922749,5.53537629032258,20.214166,6.600573774193547,18.919495,6.623085354838711,19.247604,5.726790193548386
2118,18.894939,5.507566290322581,20.138323,6.524730774193548,19.053928,6.757518354838709,19.450074,5.929260193548387
2119,19.002884,5.615511290322582,20.246538,6.63294577419355,19.067136,6.770726354838711,19.467094,5.946280193548386
2120,18.987548,5.60017529032258,20.331593,6.71800077419355,19.150828,6.85441835483871,19.395488,5.874674193548387
2121,19.012119,5.6247462903225784,20.217803,6.6042107741935485,19.241855,6.945445354838711,19.440023,5.919209193548387
2122,18.964103,5.5767302903225815,20.324267,6.7106747741935475,19.499779,7.20336935483871,19.718233,6.197419193548388
2123,19.036475,5.649102290322579,20.375837,6.762244774193549,19.377702,7.081292354838709,19.308658,5.787844193548388
2124,19.153047,5.765674290322581,20.475847,6.86225477419355,19.53418,7.237770354838709,19.456899,5.9360851935483865
2125,19.281215,5.89384229032258,20.588047,6.974454774193548,19.576156,7.279746354838711,19.79057,6.269756193548385
2126,19.224795,5.83742229032258,20.522393,6.9088007741935495,19.506824,7.210414354838711,19.724616,6.203802193548388
2127,19.191139,5.80376629032258,20.64941,7.035817774193548,19.41844,7.12203035483871,19.572716,6.051902193548386
2128,19.263282,5.87590929032258,20.738057,7.12446477419355,19.400097,7.1036873548387085,19.79365,6.272836193548386
2129,19.31366,5.926287290322579,20.632504,7.018911774193549,19.545877,7.2494673548387105,19.731782,6.210968193548386
2130,19.411859,6.02448629032258,20.660701,7.047108774193548,19.537035,7.240625354838709,19.699683,6.178869193548387
2131,19.499236,6.11186329032258,20.787984,7.17439177419355,19.695273,7.39886335483871,19.842698,6.321884193548385
2132,19.550515,6.163142290322581,20.862623,7.249030774193548,19.680685,7.38427535483871,20.092543,6.571729193548386
2133,19.543267,6.15589429032258,20.937082,7.323489774193549,19.873435,7.57702535483871,20.214737,6.693923193548386
2134,19.62727,6.239897290322579,21.065394,7.45180177419355,19.813254,7.51684435483871,19.916775,6.395961193548388
2135,19.745491,6.358118290322581,21.162753,7.549160774193547,19.907097,7.61068735483871,19.846633,6.325819193548387
2136,19.787756,6.400383290322582,21.249706,7.636113774193548,19.753627,7.457217354838711,20.275427,6.754613193548387
2137,19.694895,6.307522290322579,21.26835,7.65475777419355,19.897643,7.601233354838708,20.132251,6.611437193548387
